isbn;ean;title;publisher;date;seriesTitle;seriesNumber;authorSurname;AuthorName;type;totalCopies;numberCopiesAimeCesaire;numberCopiesEdmondRostand;numberCopiesJeanPierreMelville;numberCopiesOscarWilde;numberCopiesSaintSimon
2-253-04777-5;;La métamorphose | Texte imprimé | Franz Kafka  | trad. préf. et notes Brigitte Vergne-Cain et Gérard Rudent;LGF;1988;;;Kafka;Franz;Livre en langue étrangère;5;;;;;
;;0Tangos, pasos | Enregistrement sonore | Orchestre de Ramon Mendizabal;Distrib. Musidisc;1987;;;;;Disque compact;1;;;;;
2-01-167840-4;;Le malade imaginaire | Texte imprimé | Molière | notes, questionnaires et dossier... par Jean-Claude Landat,...;Hachette éducation;1999;;;Molière;;Livre jeunesse;4;;;;;
0-7866-1795-0;;Irish & Scottish | Musique imprimée | airs & ballads for acoustic guitar | by Bill Brennan;Mel Bay;1997;;;;;Partition;1;;;;;
2-235-02149-2;;Poincaré | Texte imprimé | l'acharné de la politique | Daniel Amson;Tallandier;1997;;;Amson;Daniel;Livre pour adulte;3;;1;1;;
2-7201-0193-1;;Un autre monde hors le temps | Texte imprimé | James Kahn;Opta;1984;;;Kahn;James;Livre pour adulte;1;;;;;
"2-226-10438-0;2-226-12706-2";;Le journal de Bridget Jones | Texte imprimé | Helen Fielding | trad. de l'anglais par Arlette Stroumza;Albin Michel;1998;;;Fielding;Helen;Livre pour adulte;15;;1;;;
2-01-006747-9;;Le Théâtre, l'artiste, l'État | Texte imprimé | Jean Jourdheuil | [avec la collaboration de Bernard Chartreux];Hachette;1979;;;Jourdheuil;Jean;Livre pour adulte;1;;;;;
2-7373-1468-2;;Les dieux des Vikings | Texte imprimé | Jean Renaud;"Éd. ""Ouest-France""";1996;;;Renaud;Jean;Livre pour adulte;1;;;;;
2-7491-0552-8;9782749105529;Le silence selon Jane Dark | Texte imprimé | Ben Marcus | traduit de l'américain par Claro;le Cherche midi;DL 2006;;;Marcus;Ben;Livre pour adulte;3;;;1;;
;"0731454671323;731454671323";João voz e violão | Enregistrement sonore | Joao Gilberto, chant, guitare;"[Polygram international];[distrib. Universal Division Polydor]";[2000 (P)];;;Gilberto;Joao;Disque compact;3;;;1;;
;;Piano concerto No.1 | Enregistrement sonore | C. Arrau;Distrib. Polygram;1994;;;Tchaïkovski;Piotr Ilyitch;Disque compact;1;;;;;
978-2-35604-000-8;9782356040008;Les petits-enfants de Lénine | Texte imprimé | pérégrinations de deux Européens dans les anciennes républiques soviétiques | Évangeline Masson-Diez | préface de Dominique Lapierre;Éd. Alta Plana;impr. 2008;;;Masson-Diez;Évangeline;Livre pour adulte;1;;;;;
2-221-07393-2;;Le fichier | Texte imprimé | Annette Kahn | préf. de Serge Klarsfeld;R. Laffont;1992;;;Kahn;Annette;Livre pour adulte;3;;;;;
;5050457069728;Funny face | Enregistrement sonore | Bande originale du film de Stanley Donen | Fred Astaire;Hallmark;2008;;;Astaire;Fred;Disque compact;1;;;;;
2-84186-248-8;;Les nouveaux mondes rebelles | Texte imprimé | conflits, terrorisme et contestations | [sous la direction de] Jean-Marc Balencie [et] Arnaud de La Grange | introduction de Jean-Christophe Rufin;Éd. Michalon;Impr. 2004;;;;;Livre pour adulte;3;;;;;
;"0718751796027;718751796027";Steady diet of nothing | Enregistrement sonore | Fugazi;Dischord Records;cop. 1991;;;;;Disque compact;2;;;;;
2-7459-0539-2;;Le maître chat ou Le Chat botté | Texte imprimé | de Charles Perrault | ill. par Anne Herbauts;Milan poche;2002;;;Perrault;Charles;Livre jeunesse;8;;;;;1
;5060145870055;Thirteen tales of love and revenge | Enregistrement sonore | the Pierces, duo voc. et instr.;"Lizard king records;[distrib. Naïve distribution]";[DL 2009];;;;;Disque compact;2;;;1;;
;0706301377321;Volver, volver | Enregistrement sonore | Chavela Vargas, chant... [et al.];"[WEA Europe];[distrib. Warner music France]";[1998 (DL)];;;Vargas;Chavela;Disque compact;1;;;;;
;0029667520027;London street soul, 1988-2009 | Enregistrement sonore | 21 years of acid jazz records | Andy Lewis;Ace Records Ltd.;2009;;;;;Disque compact;1;;;;;
;0731455838022;Sufficiently breathless | Enregistrement sonore | Captain Beyond;PolyGram Records;1973;;;;;Disque compact;2;;;;;
;3429020148221;Wakan tanka | Enregistrement sonore | Coeur Magique;Spalax Music;1971;;;;;Disque compact;1;;;;;
;0724384744922;For your pleasure | Enregistrement sonore | Roxy music, groupe voc. et instr.;"[Virgin records international];[distrib. Virgin France]";[2001 (DL)];;;;;Disque compact;2;;;;;
978-2-01-237374-7;9782012373747;Éloge des pères | Texte imprimé | Simone Korff-Sausse;Hachette littératures;impr. 2009;;;Korff Sausse;Simone;Livre pour adulte;1;;;;;
978-0-7148-5874-6;9780714858746;Kyoto;Phaidon;2008;;;;;Livre de Fonds spécialisés;1;;;;;
978-2-7514-0348-4;9782751403484;Tours du Mont Lozère et du Causse Méjean | Document cartographique | Causse de Sauveterre | Parc national des Cévennes | GR 68-6-60, GR de pays | FFRandonnée | [cartographie Institut géographique national];FFRandonnée;2009;;;;;Livre pour adulte;1;;;;;
978-2-218-93370-7;9782218933707;Anglais CE2 | Multimédia multisupport | Corinne Touati,... Hélène Harris,...;Hatier;DL 2008;;;;;Méthode de langue;6;;1;;;
;5099950128822;0Sonates & partitas pour violon seul | Enregistrement sonore | Bach, comp. | Johanna Martzy, vl | Suites pour violoncelle seul | Bach, comp. | Janos Starker, vlc | Petit livre d'Anna-Magdalena Bach | extr. | Bach, comp. | Edith Mathis, S | Theo Altmeyer, T | Alfred Lessing, vle de gbe, cb ... [et al.];"EMI;distrib. EMI";[DL 2007];;;;;Disque compact;1;;;;;
;;Chain Reaction ... compiled | Enregistrement sonore;BCP;P1998;;;;;Disque compact;1;;;;;
;5099720228295;1 | Céline Dion | Images animées | Live à Paris | Noproblemo, réalisation | Céline Dion, chant;Sony Music Entertainment [éd.];2003;;;;;DVD-vidéo tous publics;1;;;;;
;;Chamber music | Enregistrement sonore | 1;Slovak Music Fund;P1993;;;;;Disque compact;1;;;;;
;0794881920723;Sadaka | Enregistrement sonore | Amar Sundy, chant, guitare;Dixiefrog;2009;;;Sundy;Amar;Disque compact;4;;;;;
;"760623088228;0760623088228";Chamber music | vol. 2 | Enregistrement sonore | Hans-Werner Henze, comp. | Ensemble Villa Musica;Musikproduktion;P2006;;;Henze;Hans Werner;Disque compact;1;;;;;
;5013993573227;Lady love | Enregistrement sonore | Barbara Mason, chant;Passion Music;2009;;;Mason;Barbara;Disque compact;1;;1;;;
;"760623039527;0760623039527";Chamber music for wind instruments and piano | Enregistrement sonore | Camille Saint-Saëns, comp. | Ensemble Villa Musica, groupe instr.;MDG;P1991;;;Saint-Saëns;Camille;Disque compact;1;;;;;
;5050582718218;Plenty | Images animées | Fred Schepisi, réal. | David Hare, aut. adapté, scénario | Bruce Smeaton, comp. | Meryl Streep, Charles Dance, Tracey Ullman... [et al.], act.;"StudioCanal [éd.];Universal StudioCanal vidéo [distrib.]";[DL 2009];;;;;DVD-vidéo tous publics;2;;;;;
;;La Chanson Populaire Algérienne | Enregistrement sonore | le chaabi | 2 | E.M. Elanka;Club du Disque Arabe;P1991;;;;;Disque compact;1;;;;;
;5425008374321;Chansons | Enregistrement sonore | Fortune hellas... | Thomas Crecquillon, comp. | Egidius Kwartet | Egidius Consort;Etcetera;P2004;;;Crecquillon;Thomas;Disque compact;1;;;;;
;;Chant | Enregistrement sonore | George Young, saxophone;King Records;P1985;;;Young;George;Disque compact;1;;;;;
;;Le Chant de la Vendée | Enregistrement sonore | Patrice Martineau;Editions du petit Ve'hicule;1992;;;Martineau;Patrice;Disque compact;1;;;;;
;3487549901642;"Les chantres et la manivelle | Enregistrement sonore | Messe Royale de Dumont ; Te Deum ; Magnificat ; Stabat Mater ; Le Bourbon et la foi ; Venez divin Messie...[etc.] | Ensemble Vox Cantoris | Jean-Christophe Candau, dir. | Michel Colin, registration | Michel Colin, Michel Foussard, Charles Henri, manivelle";Ligia Digital;P2006;;;;;Disque compact;1;;;;;
;;Chants de quête de la période de Pâques | Enregistrement sonore;Ocora-AMTA;P1989;;;;;Disque compact;1;;;;;
;;Chants et contes de la mer | Enregistrement sonore | Cap Canaille;Marianne Mélodie;P2004;;;;;Disque compact;1;;;;;
;3365429200125;Chausseur de femmes | Enregistrement sonore | Stephane Kochoyan, piano | Henri Texier, contrebasse | Daniel Humair, batterie;Pannonica;P1990;;;Kochoyan;Stéphane;Disque compact;1;;;;;
;"042283601826;0042283601826";Olê, ola | Enregistrement sonore | Chico Buarque & Maria Bethânia, chant;PolyGram;P1993;;;Buarque;Chico;Disque compact;1;;;;;
;"0034571174976;034571174976";Choral music | Enregistrement sonore | Musique chorale | Edward Bairstow, comp. | Roderick Williams, baryton | Paul Provost, orgue | The Choir of St John's College, Cambridge | Britten Sinfonia | David Hill, dir.;Abeille Musique;P2007;;;Bairstow;Edward;Disque compact;1;;;;;
;;Chorales et ensembles vocaux en France | Enregistrement sonore | Ile de France | 4;Keloway;P1992;;;;;Disque compact;1;;;;;
;;Choros & jazz baroque | Enregistrement sonore | O Trio;Distrib. IMP;Cop.1993;;;;;Disque compact;1;;;;;
2-262-00432-3;;Le miracle capétien | Texte imprimé | sous la dir. de Stéphane Rials;Perrin;1987;;;;;Livre pour adulte;3;;;;;
;;Christmas | Enregistrement sonore | The Singers Unlimited;Distrib. Polygram;1989;;;;;Disque compact;1;;;;;
;;Concertgebouw Orchestra | Enregistrement sonore | Netherlands music;Distrib. Sound Products;1989;;;;;Disque compact;1;;;;;
;3504129064013;Concerto pour violon, op. 61 | Enregistrement sonore | Ludwig van Beethoven, comp. | Concertgebouw Orkest | Willem Mengelberg, dir | Concerto pour violon, op. 53 | Antonin Dvorak, comp. | NWDR Sinfonieorchester | Hans Schmidt-Isserstedt, dir. | Guila Bustabo, violon;Tahra;P2007;;;Bustabo;Guila;Disque compact;1;;;;;
;"760623136660;0760623136660";Christus | Enregistrement sonore | oratorio | Franz Liszt, comp. | Franziska Hirzel, soprano | Birgit Remmert,contralto | Donald Kaasch, ténor... [et al.] | Czech Philharmonic Choir Brno | Beethoven Orchester Bonn | Roman Kofman, dir.;MDG Gold;P2006;;;Liszt;Franz;Disque compact;1;;;;;
;;La Cigale 6-11-93 | Enregistrement sonore | Divine Comedy;Virgin France;P1993;;;Hannon;Neil;Disque compact;1;;;;;
;"095115653920;0095115653920";Classic brass | Enregistrement sonore | John Foter Balck Dr=yke Mills Band | Geoffrey Brand | Roy Newsome, dir.;Chandos records;cop. 1991;;;Brand;Geoffrey;Disque compact;1;;;;;
;3464630014511;Cocktails for two | Enregistrement sonore | Spike Jones & his City Slickers;Iris Musique;P1997;;;Jones;Spike;Disque compact;1;;;;;
;;Le Coeur cerise | Enregistrement sonore;Olivi Music;1992;;;Dautin;Yvan;Disque compact;1;;;;;
;"034061075820;0034061075820";Cold Sassy Tree | Enregistrement sonore | Carlisle Floyd, comp. | Patricia Racette, soprano (Love Simpson) | Dean Peterson (Rucker Latimore) | John McVeigh (Will Tweedy) | Margaret Lloyd (Lightfoot McClendon), .... [et al] | Houston Grand Opera | Patrick Summers, dir.;Albany Records;cop. 2005;;;Floyd;Carlisle;Disque compact;1;;;;;
;"063757609025;0063757609025";Al-jadida | Enregistrement sonore | Rabib Abou-Khalil, comp., oud | Sonny Fortune, saxophone alto | Glen Moore, contrebasse | Ramesh Shotham, Nabil Khaiat, percussions, batterie,;Enja;P1991;;;Abou Khalil;Rabih;Disque compact;1;;;;;
;;Colonies | Enregistrement sonore;Iris Musique;P1995;;;;;Disque compact;1;;;;;
;;Columbus | Enregistrement sonore | F. Dyk;Multisonic;cop.1992;;;Skroup;Frantisek;Disque compact;1;;;;;
;;Coming out swinging | Enregistrement sonore | Lewis Keel;Muse Records;P1992;;;;;Disque compact;1;;;;;
;"0002501010849778;002501010849778";Como é que se diz eu te amo | Enregistrement sonore | Legiao Urbana, groupe voc. et instr.;Emi;P2001;;;;;Disque compact;1;;;;;
978-2-07-061361-8;9782070613618;Le tour du monde en quatre-vingt jours | Enregistrement sonore | Jules Verne | lu par Bernard Pivot et 4 comédiens | musique originale de Stanislas Renoult;Gallimard-Jeunesse;2007;;;Verne;Jules;Livre sonore jeunesse;14;;;;;
978-84-8443-398-9;9788484433989;L'ange gardien | Multimédia multisupport | Christian Lause | [Javier Andrada, ill.] | Christian Renaud, voix;"Difusión-Centre de recherche et de publication de langues;Maison des langues";DL 2007;;;Lause;Christian;Méthode de langue;1;;;;;
3-8296-0053-4;;Heute bis jetzt | Teil 2 | 25.5 bis 25.8.2002 | Texte imprimé | zeitgenössische Fotografie aus Düsseldorf | [Austellung Konzept, Jean-Hubert Martin, Rupert Pfab] | [Katalog Redaktion, Rupert Pfab];Schirmer-Mosel;2002;;;;;Livre pour adulte;1;;1;;;
978-2-09-184547-0;9782091845470;Dictionnaire des sciences de la vie et de la terre | Texte imprimé | Michel Breuil,...;Nathan;impr. 2007;;;Breuil;Michel;Livre pour adulte;2;;;;;
;;The two ring circus | Enregistrement sonore | Erasure;Distrib. BMG;1987;;;;;Disque compact;1;;;;;
978-2-07-062225-2;9782070622252;Le chat qui parlait malgré lui | Texte imprimé | Claude Roy | illustrations d'Élisa Géhin;Gallimard jeunesse;DL 2008;;;Roy;Claude;Livre jeunesse;21;;;1;;1
;;Nat King Cole | 3 | Enregistrement sonore | the trio recordings;Delta Music;1991;;;;;Disque compact;1;;;;;
978-2-221-11203-8;9782221112038;0Oeuvres romanesques choisies | Texte imprimé | V. S. Naipaul,... | préface de Jean-François Fogel;R. Laffont;impr. 2009;;;Naipaul;Vidiadhar Surajprasad;Livre pour adulte;3;;;;;
1-8411-7012-7;;Ahzânu al-yawm al-wâhid | Texte imprimé | qisas qasîra | Muhammad *Alî Al-Shuwayhidî;Arab diffusion;1999;;;Shuwayhidî;Muhammad *Alî;Livre en langue étrangère;1;;;;;
978-2-0812-2665-4;9782081226654;Les 1001 merveilles de la nature qu'il faut avoir vues dans sa vie | Texte imprimé | préface de Koichiro Matsuura,... | ouvrage réalisé sous la direction de Michael Bright;Flammarion;DL 2009;;;;;Livre pour adulte;9;;;;;
;;Talkin' verve | Enregistrement sonore | Lalo Schifrin;Polygram;1999;;;Schifrin;Lalo;Disque compact;9;;;1;;
;"0093624684121;093624684121";Jackie Brown | Enregistrement sonore | a Quentin Tarantino film | music from the Miramax motion picture | Quentin Tarantino, réal.  | Bobby Womack, chant | Brothers Johnson, groupe voc. et instr.  | Bill Withers, guit., chant... [et al.];"[WEA Europe];[distrib. Warner music France]";1998;;;;;Disque compact;21;;1;1;;
978-2711-61-8996;;Qu'est-ce qu'une oeuvre d'art ? | Texte imprimé | Roger Pouivet;Vrin, impr;2007;;;Pouivet;Roger;Livre pour adulte;20;1;;1;;
;3260050770958;Musique et chants pour notre mariage | Enregistrement sonore | J. Clarke, N. de Grigny, T. Albinoni... [et al.], comp. | Frédéric Presle, trp | Jacques Amade, org. | Jean-Philippe Thiébaut, htb... [et al.];"Bayard musique;Night & Day distribution";[DL 2005];;;;;Disque compact;1;;;1;;
;;L'Opéra des gueux | Texte imprimé | Kaiko Takeshi | trad. du japonais par Jacques Lalloz;Publications orientalistes de France;1985;;;Kaikô;Takeshi;Livre pour adulte;1;;;;;
;0093624999454;300 | Enregistrement sonore | original motion picture soundtrack | music by Tyler Bates;"Warner music;[distrib. Warner music France]";P 2007;;;;;Disque compact;1;;;;;
;;Trio | Enregistrement sonore | Alexander M;Concord Jazz;1991;;;;;Disque compact;4;;;;;
;"0825764102520;825764102520";Gone | Enregistrement sonore | The promises of yesterday | 24 Carat Black;The Numero Group;cop. 2009;;;;;Disque compact;5;;;;1;
2-87730-142-7;;Romanée-Conti 1935 | Texte imprimé | récits | Kaikô Takeshi | trad. du japonais par Anne Bayard-Sakai et Didier Chiche;P. Picquier;1993;;;Kaik?;Takeshi;Livre pour adulte;4;;;1;;
;0602517966390;Soul finger | Enregistrement sonore | Art Blakey and the Jazz messengers, groupe instr.;"UMG recordings;[distrib. Universal Polydor]";[DL 2009];;;;;Disque compact;2;;;;;
;;Trio | Enregistrement sonore | Emmylou Harris;Warner Bros;1987;;;;;Disque compact;7;;;;1;
;3299039929124;Men who hate women | Enregistrement sonore | part of Millenium trilogy | original motion picture soundtrack | music composed by Jacob Groth;"Milan music;[distrib. Universal licensing music]";[DL 2009];;;;;Disque compact;2;;;;;
2-07-071763-1;;Campagnes de Russie | Texte imprimé | Jean-Loup Trassard;Gallimard;1989;;;Trassard;Jean-Loup;Livre pour adulte;4;;1;;;
;"0886973048429;886973048429";"The Brothers Isley ; Get into something ; Givin'it back ; Brother, brother, brother ; 3+3 | Enregistrement sonore | The Isley Brothers, groupe voc. et instr.";Sony BMG music Entertainment;2008;;;;;Disque compact;12;;;;;
;;"Symphony no6 in A minor ""Tragic"" | Enregistrement sonore | B. Zander";Telarc;2002;;;Mahler;Gustav;Disque compact;1;;;;;
;8435008861902;Sabor a fresa | Enregistrement sonore | La Nueva Banda Santisteban, groupe voc. et instr.;Distrolux;2009;;;;;Disque compact;2;;;;;
2-86967-628-x;;Lili bandit corse | Texte imprimé | texte de Bernadette Hieris | ill. d'Al. G;Ed. Vent d'Ouest;1997;Les mille et un tours de l'espiègle Lili;1;Hiéris;Bernadette;Bande dessinée jeunesse;4;;;;;
;0781484040422;God is good | Enregistrement sonore | OM, duo voc. et instr.;Drag City;2009;;;;;Disque compact;4;;;;;
2-84420-358-2;;Atchoum ! | Texte imprimé | Jochen Gerner;T. Magnier;2005;;;Gerner;Jochen;Livre jeunesse;1;;;;;
2-265-06826-8;;Le soleil naît derrière le Louvre | Texte imprimé | 1er arrondissement | Léo Malet | photogr. de Virginie Pérocheau;Fleuve noir;1999;Les nouveaux mystères de Paris.;;Malet;Léo;Livre pour adulte;2;;;1;;
2-01-235371-1;9782012353718;Esclave en Grèce et à Rome | Texte imprimé | Jean Andreau, Raymond Descat;Hachette littératures;impr. 2006;;;Andreau;Jean;Livre pour adulte;4;;;;;
;0673203300323;The gentleman is back | Enregistrement sonore | Johnnie Bassett, chant, guitare;Mack Avenue Records;2009;;;Bassett;Johnnie;Disque compact;6;;;1;;
978-2-86231-204-0;9782862312040;Les nuages de Paris | Texte imprimé | album | François Caradec;M. Nadeau;impr. 2007;;;Caradec;François;Livre pour adulte;9;;;;;1
;3596971260224;Nu soul | Enregistrement sonore | a selection of new rare tunes with a soul flavour | Terry Callier, Paul Weller, Raphael Saadis, chant... [et al.];Wagram music;P 2007;;;;;Disque compact;1;;;;;
2-7427-5462-8;;Le jardin des innocents | Texte imprimé | roman | Kristien Hemmerechts | trad. du néerlandais par Patrick Grilli;Actes Sud;2005;;;Hemmerechts;Kristien;Livre pour adulte;2;;;;;
;;One night in Carcosa | Enregistrement sonore | Dawn of Relic;Earache;1998;;;;;Disque compact;1;;;;;
2-7152-2353-6;;Le cheval blanc d'Uffington | Texte imprimé | roman | Anne Serre;Mercure de France;2002;;;Serre;Anne;Livre pour adulte;1;;;;;
;0602527137452;Fame | Enregistrement sonore | original motion picture soundtrack | Naturi Naughton, Anjulie, Asher Book... [et al.], chant;"Universal music;[distrib. Universal Barclay]";P 2009;;;;;Disque compact;1;;;;;
1-85513-272-9;;Shiqqat al-hurayya | Texte imprimé | riwâya | Ghâzî *Abd al-Rahmân Al-Qusaybî;Riad el-rayyes books;1999;;;Qusaybi;Ghazi al;Livre en langue étrangère;1;;;;;
;0634904045326;"Scars | Enregistrement sonore | Basement jaxx, duo instr. | feat. Kelis, Meleka... [et al.] | Raindrops | Basement jaxx, duo instr. | She's no good... [etc.] | Basement jaxx, duo instr. | feat. Eli ""Paperboy"" Reed";"XL recordings;[distrib. Naïve distribution]";P2009;;;;;Disque compact;8;;;;;
2-84219-048-3;;Les potes de la perception | Texte imprimé | Yannick Bourg;Éd. Baleine;1997;;;Bourg;Yannick;Livre de Fonds spécialisés;1;;;;;
978-2-02-100152-5;9782021001525;La mélodie des tuyaux | Multimédia multisupport | un conte musical de | Benjamin Lacombe, texte et illustrations | mis en musique par Alex el Rubio et Jean-Baptiste Marino | dit par Olivia Ruiz;Seuil jeunesse;cop. 2009;;;Lacombe;Benjamin;Livre sonore jeunesse;34;1;1;1;1;1
2-7459-1743-9;;Mes animaux de la mer | Texte imprimé | [illustrations de Catherine Fichaux];Milan jeunesse;DL 2005;;;Fichaux;Catherine;Livre jeunesse;1;;;;;
;3254872991875;Aman | Enregistrement sonore | Nawal;Nawal;2007;;;Nawal;;Disque compact;1;;;;;
;32272120381576;Les sons vagabonds | 1ère année | Texte imprimé | initiation à la dictée musicale | Elisabeth Lamarque et Marie-José Goudard;H. Lemoine;1999;;;Lamarque;Elisabeth;Méthode musicale;3;;;;;
2-7234-2533-9;;Le grand dérangement | Texte imprimé | dessins, scénario J.F. Charles;Glénat;1998;Les pionniers du nouveau monde;2;Charles;Jean-François;Bande dessinée pour adulte;3;;;;;
;0008811292621;My generation | Enregistrement sonore | deluxe edition | the Who, groupe voc. et instr.;"Universal music [international];distrib. Universal [Division Polydor]";P 2002;;;;;Disque compact;1;;;1;;
978-2-35078-643-8;9782350786438;Grève party | Texte imprimé | Pica et Erroc | couleurs, J. Guénard;Bamboo éd.;DL 2009;Les profs.;12;Pica;;Bande dessinée jeunesse;33;2;3;3;1;
978-2-266-18269-0;9782266182690;Hunger games | 1 | Texte imprimé | Suzanne Collins | traduit de l'anglais (États-Unis) par Guillaume Fournier;Pocket jeunesse;impr. 2009;Hunger games;;Collins;Suzanne;Livre de section jeunesse > 12 ans;56;1;1;1;1;1
978-2-7144-4604-6;9782714446046;Un siècle dans la vie d'une femme | roman | Liliane Roskopf;Belfond;2009;;;Roskopf;Liliane;Livre pour adulte;2;;;;;
978-2-7595-0150-2;9782759501502;X | Eks | Volume 9 | Texte imprimé | Clamp;Éd. Tonkam;impr. 2009;X;9;;;Bande dessinée jeunesse;1;;;;;
;"0000000LUV001;000000LUV001";Mon coeur | Enregistrement sonore | Victoria Lud, comp. & chant;Victoria Lud;2016;;;Lud;Victoria;Disque compact;1;;;;;
;7090014381694;Kvelertak | Enregistrement sonore | Kvelertak, ens. voc. & instr.;;2010;;;;;Disque compact;2;;;;;
2-86869-864-6;;Llanto por Ignacio Sanchez Mejias | Texte imprimé | de Federico Garcia Lorca à Maurice Ohana : ouvrage collectif bilingue | sous la dir. de Frédéric Duval;Actes Sud;1992;;;;;Livre pour adulte;1;;;;;
978-1-4472-9657-7;9781447296577;The last days of new Paris | Texte imprimé | China Miéville;Picador;2016;;;Miéville;China;Livre en langue étrangère;5;1;;1;;
978-2-07-017960-2;9782070179602;Dieu, Allah, moi et les autres | Texte imprimé | récit | Salim Bachi;Gallimard;DL 2016;;;Bachi;Salim;Livre pour adulte;29;;1;1;;2
978-2-7560-8672-9;9782756086729;Alice in Borderland | 16 | Texte imprimé | Haro Asô | traduction Ryoko Sekiguchi | adaptation Olivier Vachey;Delcourt;2017;Alice in Borderland;16;Asô;Haro;Bande dessinée pour adulte;8;;;1;;
978-2-36098-233-2;9782360982332;Je mange sain et bio, même au boulot ! | 45 recettes et 120 variantes de déjeuners à emporter | Marie Chioca;Terre vivante;2017;;;Chioca;Marie;Livre pour adulte;2;;;;;
978-2-213-70190-5;9782213701905;L'abandon des prétentions | Texte imprimé | roman | Blandine Rinkel;Fayard;2017;;;Rinkel;Blandine;Livre pour adulte;18;;1;1;;
978-2-07-058549-6;9782070585496;La décision | Isabelle Pandazopoulos;Gallimard-Jeunesse;2016;;;Pandazopoulos;Isabelle;Livre de section jeunesse > 12 ans;2;;;1;;
;"602537943067;0602537943067";Mes soirées karaoké | Vol. 6 | Chansons françaises | Images animées;Universal music [éd.];2014;;;;;DVD-vidéo tous publics;1;;;;;
;;This should move ya | Enregistrement sonore | Mantronix;Capitol Records;1990;;;;;Disque compact;2;;;;;
978-2-07-270107-8;9782072701078;Beauté | Texte imprimé | roman | Philippe Sollers;Gallimard;2017;;;Sollers;Philippe;Livre pour adulte;31;1;1;1;1;1
2-01-209666-2;;La maison de poupées | Texte imprimé | Bebe Faas Rice | trad. de l'américain par Pascale Haas;Hachette jeunesse;1997;Panique au centre commercial.;;Rice;Bebe Faas;Livre jeunesse;1;;;;;
978-2-36629-821-5;9782366298215;Superposition | Texte imprimé | David Walton | traduit de l'anglais (Etats-Unis) par Eric Holstein;ActuSF;2016;;;Walton;David;Livre pour adulte;8;;;1;;
;;Time speaks | Enregistrement sonore | Benny Golson;Timeles;1985;;;;;Disque compact;1;;;;;
978-2-84337-832-4;9782843378324;La maison des enfants | Texte imprimé | Charles Lambert | traduit de l'anglais(Royaume-Uni) par Marie de Prémonville;Editions Anne Carrière;2016;;;Lambert;Charles;Livre pour adulte;7;;;;;
;;Terrapin station | Enregistrement sonore | Grateful Dead;Arista;1992;;;;;Disque compact;2;;;;;
979-10-331-0521-3;9791033105213;Guinée | Texte imprimé | Dominique Auzias & Jean-Paul Labourdette;Nouv. éd. de l'Université;2017;;;Auzias;Dominique;Livre pour adulte;11;;;1;;
;;Torch song trilogy | Enregistrement sonore | B.O. (1989) | Personne n'est parfait;Distrib. Polygram;1989;;;;;Disque compact;2;;;;;
;5053083106324;Guyane | Images animées | saison 1 | Philippe Triboit, Fabien Nury, réal. | Kim Chapiron, adapt. | Fabien Nury, Sabine Dabadie, Frédérick Folkeringa, scénario | Mathieu Spinosi, Olivier Rabourdin, Issaka Sawadogo, Anne Suarez, Flora Bonfanti, ... [et al.] act.;Studio Canal vidéo [éd.];2017;;;;;DVD- vidéo > 12 ans;6;;1;;;
2-85173-061-4;;Guide Plan-Net de l'Ile-de-France | Texte imprimé | cartes routières et touristiques avec index des communes, cartes administratives par département avec population par commune et code postal, 380 plans rue par rue en continu autour de Paris avec index des rues par commune, villes nouvelles, plans détaillés par commune, zones industrielles, cartes des sorties de Paris avec index de situation des plans par rue;Ponchet-Plan Net;2004;;;;;Usuels;1;;;;;
978-2952-56-4618;;Le temps de l'accomplissement | Texte imprimé | M. H. Essling;Ed. 5ème saison, impr;;Le sablier de Mû;livre 1;Essling;M. H.;Livre pour adulte;7;;;;;
978-2738-11-8424;;Vivre avec l'arthrose | Texte imprimé | mobilité et bien-être | Dr Philippe Chaduteau | illustrations de Sylvie Rochart;O. Jacob, impr;2007;;;Chaduteau;Philippe;Livre pour adulte;2;;;;;
978-2-8123-1234-2;9782812312342;Made in Paris | le guide qui dévoile tout ce qui se fabrique à Paris | mode, maison, loisirs, accessoires, manger local | Christine Taconnet;Chêne;2016;;;Taconnet;Christine;Livre pour adulte;2;;;;;
2-207-25333-3;;Les manipulateurs | Texte imprimé | le pouvoir des lobbys | Florence Autret;Denoël;2003;;;Autret;Florence;Livre pour adulte;1;;;;;
979-10-210-2190-7;9791021021907;Patton | Texte imprimé | la chevauchée héroïque | Benoît Rondeau;Tallandier;2016;;;Rondeau;Benoît;Livre pour adulte;6;;;1;;
2-86274-369-0;;Grossesse nerveuse | Texte imprimé | Cabu | préf. de Philippe Val;le Cherche midi éd.;1995;;;Cabu;;Bande dessinée pour adulte;1;;;;;
978-2-340-01524-1;9782340015241;Achille | Texte imprimé | Aurore Noirault;Ellipses;2016;;;Noirault;Aurore;Livre pour adulte;5;;;;;
2-227-005-55-6;;Délinquance et narcissisme à l'adolescence | Texte imprimé | l'alternative symbolisante du don et de l'initiation | Pierre Kammerer;Bayard éd.;1992;;;Kammerer;Pierre;Livre pour adulte;1;;;;;
978-2-02-124299-7;9782021242997;Duel de faussaires | Texte imprimé | Bradford Morrow;Seuil;2017;;;Morrow;Bradford;Livre pour adulte;7;;;;;
;;20 chansons | 2 | Musique imprimée | transcriptions guitare;Musicom;1994;;;Le Forestier;Maxime;Partition;1;;;;;
